iata,icao,unlocode,place_id,place_name,place_region,place_country
API,SKAP,COAPI,3689790,Apiay,Meta,CO
APK,NTGD,PFAPK,4034132,Niutahi,Îles Tuamotu-Gambier,PF
APL,FQNP,MZAPL,1033356,Nampula,Nampula,MZ
APN,KAPN,USAPN,4984075,Alpena,Michigan,US
APO,SKLC,COAPO,3689798,Apartadó,Antioquia,CO
APP,,PGAPP,2091200,Matanuru,Northern Province,PG
APQ,SNAL,BRAPQ,3407327,Arapiraca,Alagoas,BR
APR,AYPE,PGAPR,8658788,April River,East Sepik,PG
APS,SBAN,BRAPS,3472287,Anápolis,Goiás,BR
APT,KAPT,USAPT,4620066,East Hill,Tennessee,US
APU,SSAP,BRAPU,3471910,Apucarana,Paraná,BR
APV,KAPV,USAPV,5324363,Apple Valley,California,US
APW,NSFA,WSAPW,4035413,Apia,Tuamasaga,WS
APX,SSOG,BRAPX,3471798,Arapongas,Paraná,BR
APY,,BRAPY,3407798,Alto Parnaíba,Maranhão,BR
APZ,SAHZ,ARAPZ,3832132,Zapala,Neuquén Province,AR
AQA,SBAQ,BRAQA,3471766,Araraquara,São Paulo,BR
AQB,MGQC,GTAQB,3589404,Santa Cruz del Quiché,Quiché,GT
AQG,ZSAQ,,1817993,Anqing,Anhui,CN
AQI,OEPA,SAAQI,108918,Al Qayşūmah,Eastern Province,SA
AQJ,OJAQ,JOAQJ,250774,Aqaba,Aqaba,JO
AQM,SWNI,BRAQM,3665199,Ariquemes,Rondônia,BR
AQP,SPQU,PEAQP,3947322,Arequipa,Arequipa,PE
AQS,,,2202458,Nambauto,Northern,FJ
ARA,KARA,USARA,4334971,New Iberia,Louisiana,US
ARB,KARB,,4984247,Ann Arbor,Michigan,US
ARC,PARC,USARC,5879636,Arctic Village,Alaska,US
ARD,WATM,IDARD,8421208,Mali,East Nusa Tenggara,ID
ARE,TJAB,PRARE,4562635,Arecibo,Arecibo,PR
ARF,,COARF,3690564,Acaricuará,Vaupés,CO
ARG,KARG,USARG,4135205,Walnut Ridge,Arkansas,US
ARH,ULAA,RUARH,581049,Arkhangel’sk,Arkhangelskaya,RU
ARI,SCAR,CLARI,3899361,Arica,Arica y Parinacota,CL
ARJ,WAJA,IDARJ,2082704,Arso,Papua,ID
ARK,HTAR,TZARK,161325,Arusha,Arusha,TZ
ARL,DFER,BFARL,2363171,Arly,Est,BF
ARM,YARM,AUARM,2177671,Armidale,New South Wales,AU
ARN,ESSA,SEARN,2673730,Stockholm,Stockholm,SE
ARO,,COARO,3689693,Arboletes,Antioquia,CO
ARP,,PGARP,2096530,Gwadede,Milne Bay,PG
ARQ,,COARQ,3689714,Arauquita,Arauca,CO
ARR,SAVR,ARARR,3866035,Alto Río Senguer,Chubut Province,AR
ARS,,BRARS,8543736,Pontal do Araguaia,Mato Grosso,BR
ART,KART,USART,5143396,Watertown,New York,US
ARU,SBAU,BRARU,3471859,Araçatuba,São Paulo,BR
ARV,KARV,USARV,5263156,Minocqua,Wisconsin,US
ARW,LRAR,ROARW,686254,Arad,Arad,RO
ARX,,USARX,5100727,Macedonia,New Jersey,US
ARY,YARA,AUARY,2177756,Ararat,Victoria,AU
ARZ,FNZE,AOARZ,7756232,Mambo Mampa,Zaire,AO
ASA,HHSB,ERASA,343386,Assab,Southern Red Sea,ER
ASB,UTAA,TMASB,162183,Ashgabat,Ahal,TM
ASC,SLAS,BOASC,9129422,Ascención de Guarayos,Santa Cruz,BO
ASD,MYAF,BSASD,3572906,Andros Town,North Andros,BS
ASE,KASE,USASE,5412230,Aspen,Colorado,US
ASF,URWA,RUASF,580497,Astrakhan,Astrakhan,RU
